Tiempo,     x,      u(x)
0.6, 0.918367, 0.308562
0.6, 0.938776, 0.218003
0.6, 0.959184, 0.1389
0.6, 0.979592, 0.0675104
0.6, 1, 0
0.7, 0, 0
0.7, 0.0204082, 0.0593084
0.7, 0.0408163, 0.12194
0.7, 0.0612245, 0.19119
0.7, 0.0816327, 0.270296
0.7, 0.102041, 0.36238
0.7, 0.122449, 0.47038
0.7, 0.142857, 0.596944
0.7, 0.163265, 0.744315
0.7, 0.183673, 0.914171
0.7, 0.204082, 1.10747
0.7, 0.22449, 1.3243
0.7, 0.244898, 1.56369
0.7, 0.265306, 1.82353
0.7, 0.285714, 2.10047
0.7, 0.306122, 2.38989
0.7, 0.326531, 2.68601
0.7, 0.346939, 2.982
0.7, 0.367347, 3.27022
0.7, 0.387755, 3.54252
0.7, 0.408163, 3.79062
0.7, 0.428571, 4.00652
0.7, 0.44898, 4.18294
0.7, 0.469388, 4.31371
0.7, 0.489796, 4.39413
0.7, 0.510204, 4.42127
0.7, 0.530612, 4.39412
0.7, 0.55102, 4.3137
0.7, 0.571429, 4.18293
0.7, 0.591837, 4.00649
0.7, 0.612245, 3.79058
0.7, 0.632653, 3.54245
0.7, 0.653061, 3.27011
0.7, 0.673469, 2.98183
0.7, 0.693878, 2.68574
0.7, 0.714286, 2.38947
0.7, 0.734694, 2.09982
0.7, 0.755102, 1.82254
0.7, 0.77551, 1.5622
0.7, 0.795918, 1.32208
0.7, 0.816327, 1.10421
0.7, 0.836735, 0.909431
0.7, 0.857143, 0.737517
0.7, 0.877551, 0.587318
0.7, 0.897959, 0.456917
0.7, 0.918367, 0.343794
0.7, 0.938776, 0.244962
0.7, 0.959184, 0.157105
0.7, 0.979592, 0.0766786
0.7, 1, 0
0.8, 0, 0
0.8, 0.0204082, 0.0671935
0.8, 0.0408163, 0.137624
0.8, 0.0612245, 0.214485
0.8, 0.0816327, 0.300872
0.8, 0.102041, 0.399724
0.8, 0.122449, 0.513738
0.8, 0.142857, 0.645277
0.8, 0.163265, 0.796248
0.8, 0.183673, 0.967975
0.8, 0.204082, 1.16106
0.8, 0.22449, 1.37528
0.8, 0.244898, 1.6094
0.8, 0.265306, 1.86117
0.8, 0.285714, 2.12725
0.8, 0.306122, 2.40318
0.8, 0.326531, 2.68354
0.8, 0.346939, 2.96203
0.8, 0.367347, 3.2317
0.8, 0.387755, 3.48525
0.8, 0.408163, 3.7153
0.8, 0.428571, 3.9148
0.8, 0.44898, 4.07737
0.8, 0.469388, 4.19762
0.8, 0.489796, 4.27147
0.8, 0.510204, 4.29638
0.8, 0.530612, 4.27147
0.8, 0.55102, 4.19761
0.8, 0.571429, 4.07735
0.8, 0.591837, 3.91476
0.8, 0.612245, 3.71523
0.8, 0.632653, 3.48514
0.8, 0.653061, 3.23153
0.8, 0.673469, 2.96176
0.8, 0.693878, 2.68313
0.8, 0.714286, 2.40255
0.8, 0.734694, 2.12629
0.8, 0.755102, 1.85974
0.8, 0.77551, 1.6073
0.8, 0.795918, 1.37222
0.8, 0.816327, 1.15667
0.8, 0.836735, 0.961726
0.8, 0.857143, 0.787473
0.8, 0.877551, 0.633101
0.8, 0.897959, 0.497046
0.8, 0.918367, 0.377116
0.8, 0.938776, 0.270627
0.8, 0.959184, 0.17452
0.8, 0.979592, 0.0854747
0.8, 1, 0
0.9, 0, 0
0.9, 0.0204082, 0.0748251
0.9, 0.0408163, 0.152763
0.9, 0.0612245, 0.23687
0.9, 0.0816327, 0.330079
0.9, 0.102041, 0.435132
0.9, 0.122449, 0.554494
0.9, 0.142857, 0.690259
0.9, 0.163265, 0.844046
0.9, 0.183673, 1.01688
0.9, 0.204082, 1.20909
0.9, 0.22449, 1.42018
0.9, 0.244898, 1.64878
0.9, 0.265306, 1.89256
0.9, 0.285714, 2.14821
0.9, 0.306122, 2.4115
0.9, 0.326531, 2.67733
0.9, 0.346939, 2.93991
0.9, 0.367347, 3.1929
0.9, 0.387755, 3.42973
0.9, 0.408163, 3.64381
0.9, 0.428571, 3.8289
0.9, 0.44898, 3.97934
0.9, 0.469388, 4.09041
0.9, 0.489796, 4.15854
0.9, 0.510204, 4.1815
0.9, 0.530612, 4.15853
0.9, 0.55102, 4.09039
0.9, 0.571429, 3.9793
0.9, 0.591837, 3.82883
0.9, 0.612245, 3.6437
0.9, 0.632653, 3.42955
0.9, 0.653061, 3.19263
0.9, 0.673469, 2.9395
0.9, 0.693878, 2.67672
0.9, 0.714286, 2.41058
0.9, 0.734694, 2.14685
0.9, 0.755102, 1.89058
0.9, 0.77551, 1.64593
0.9, 0.795918, 1.41612
0.9, 0.816327, 1.20337
0.9, 0.836735, 1.00891
0.9, 0.857143, 0.833059
0.9, 0.877551, 0.675291
0.9, 0.897959, 0.534336
0.9, 0.918367, 0.408299
0.9, 0.938776, 0.294777
0.9, 0.959184, 0.190975
0.9, 0.979592, 0.0938061
0.9, 1, 0
1, 0, 0
1, 0.0204082, 0.0821243
1, 0.0408163, 0.16721
1, 0.0612245, 0.258152
1, 0.0816327, 0.357704
1, 0.102041, 0.468408
1, 0.122449, 0.592505
1, 0.142857, 0.731845
1, 0.163265, 0.887793
1, 0.183673, 1.06113
1, 0.204082, 1.25195
1, 0.22449, 1.45959
1, 0.244898, 1.68256
1, 0.265306, 1.91851
1, 0.285714, 2.16423
1, 0.306122, 2.41569
1, 0.326531, 2.66814
1, 0.346939, 2.91622
1, 0.367347, 3.15416
1, 0.387755, 3.37603
1, 0.408163, 3.57591
1, 0.428571, 3.74823
1, 0.44898, 3.88799
1, 0.469388, 3.991
1, 0.489796, 4.05411
1, 0.510204, 4.07536
1, 0.530612, 4.05409
1, 0.55102, 3.99096
1, 0.571429, 3.88792
1, 0.591837, 3.74812
1, 0.612245, 3.57574
1, 0.632653, 3.37577
1, 0.653061, 3.15377
1, 0.673469, 2.91562
1, 0.693878, 2.66726
1, 0.714286, 2.41442
1, 0.734694, 2.16239
1, 0.755102, 1.91587
1, 0.77551, 1.67883
1, 0.795918, 1.45436
1, 0.816327, 1.24472
1, 0.836735, 1.05123
1, 0.857143, 0.874386
1, 0.877551, 0.713881
1, 0.897959, 0.5687
1, 0.918367, 0.437212
1, 0.938776, 0.317279
1, 0.959184, 0.206359
1, 0.979592, 0.101612
1, 1, 0
