Tiempo,     x,      u(x)
0.7, 0.714286, 17.569
0.7, 0.734694, 16.9919
0.7, 0.755102, 16.3148
0.7, 0.77551, 15.5303
0.7, 0.795918, 14.6324
0.7, 0.816327, 13.6173
0.7, 0.836735, 12.4837
0.7, 0.857143, 11.2331
0.7, 0.877551, 9.8704
0.7, 0.897959, 8.40351
0.7, 0.918367, 6.84375
0.7, 0.938776, 5.20545
0.7, 0.959184, 3.50566
0.7, 0.979592, 1.7636
0.7, 1, 0
0.8, 0, 0
0.8, 0.0204082, 1.71404
0.8, 0.0408163, 3.40832
0.8, 0.0612245, 5.06374
0.8, 0.0816327, 6.66255
0.8, 0.102041, 8.18889
0.8, 0.122449, 9.62924
0.8, 0.142857, 10.9728
0.8, 0.163265, 12.2116
0.8, 0.183673, 13.3407
0.8, 0.204082, 14.358
0.8, 0.22449, 15.2639
0.8, 0.244898, 16.0613
0.8, 0.265306, 16.7549
0.8, 0.285714, 17.3513
0.8, 0.306122, 17.8577
0.8, 0.326531, 18.2825
0.8, 0.346939, 18.6339
0.8, 0.367347, 18.9202
0.8, 0.387755, 19.1494
0.8, 0.408163, 19.3286
0.8, 0.428571, 19.4641
0.8, 0.44898, 19.561
0.8, 0.469388, 19.6234
0.8, 0.489796, 19.6539
0.8, 0.510204, 19.6539
0.8, 0.530612, 19.6234
0.8, 0.55102, 19.561
0.8, 0.571429, 19.4641
0.8, 0.591837, 19.3286
0.8, 0.612245, 19.1494
0.8, 0.632653, 18.9202
0.8, 0.653061, 18.6339
0.8, 0.673469, 18.2825
0.8, 0.693878, 17.8577
0.8, 0.714286, 17.3513
0.8, 0.734694, 16.7549
0.8, 0.755102, 16.0613
0.8, 0.77551, 15.2639
0.8, 0.795918, 14.358
0.8, 0.816327, 13.3407
0.8, 0.836735, 12.2116
0.8, 0.857143, 10.9728
0.8, 0.877551, 9.62924
0.8, 0.897959, 8.18889
0.8, 0.918367, 6.66255
0.8, 0.938776, 5.06374
0.8, 0.959184, 3.40832
0.8, 0.979592, 1.71404
0.8, 1, 0
0.9, 0, 0
0.9, 0.0204082, 1.66845
0.9, 0.0408163, 3.31866
0.9, 0.0612245, 4.933
0.9, 0.0816327, 6.49499
0.9, 0.102041, 7.98983
0.9, 0.122449, 9.40476
0.9, 0.142857, 10.7294
0.9, 0.163265, 11.9561
0.9, 0.183673, 13.0795
0.9, 0.204082, 14.0971
0.9, 0.22449, 15.0089
0.9, 0.244898, 15.8166
0.9, 0.265306, 16.5244
0.9, 0.285714, 17.1375
0.9, 0.306122, 17.6623
0.9, 0.326531, 18.1062
0.9, 0.346939, 18.4766
0.9, 0.367347, 18.7811
0.9, 0.387755, 19.0269
0.9, 0.408163, 19.2206
0.9, 0.428571, 19.3682
0.9, 0.44898, 19.4744
0.9, 0.469388, 19.5431
0.9, 0.489796, 19.5768
0.9, 0.510204, 19.5768
0.9, 0.530612, 19.5431
0.9, 0.55102, 19.4744
0.9, 0.571429, 19.3682
0.9, 0.591837, 19.2206
0.9, 0.612245, 19.0269
0.9, 0.632653, 18.7811
0.9, 0.653061, 18.4766
0.9, 0.673469, 18.1062
0.9, 0.693878, 17.6623
0.9, 0.714286, 17.1375
0.9, 0.734694, 16.5244
0.9, 0.755102, 15.8166
0.9, 0.77551, 15.0089
0.9, 0.795918, 14.0971
0.9, 0.816327, 13.0795
0.9, 0.836735, 11.9561
