Tiempo,     x,      u(x)
0.9, 0.306122, 36.1929
0.9, 0.326531, 35.9726
0.9, 0.346939, 35.4416
0.9, 0.367347, 34.6249
0.9, 0.387755, 33.5506
0.9, 0.408163, 32.2493
0.9, 0.428571, 30.7534
0.9, 0.44898, 29.0966
0.9, 0.469388, 27.3133
0.9, 0.489796, 25.4379
0.9, 0.510204, 23.5042
0.9, 0.530612, 21.5445
0.9, 0.55102, 19.5895
0.9, 0.571429, 17.6671
0.9, 0.591837, 15.8023
0.9, 0.612245, 14.0166
0.9, 0.632653, 12.3278
0.9, 0.653061, 10.7499
0.9, 0.673469, 9.29285
0.9, 0.693878, 7.9629
0.9, 0.714286, 6.76271
0.9, 0.734694, 5.69168
0.9, 0.755102, 4.74638
0.9, 0.77551, 3.92099
0.9, 0.795918, 3.20781
0.9, 0.816327, 2.59768
0.9, 0.836735, 2.08049
0.9, 0.857143, 1.64553
0.9, 0.877551, 1.28183
0.9, 0.897959, 0.97844
0.9, 0.918367, 0.724599
0.9, 0.938776, 0.509832
0.9, 0.959184, 0.323997
0.9, 0.979592, 0.157256
0.9, 1, 0
1, 0, 0
1, 0.0204082, 3.8854
1, 0.0408163, 7.71885
1, 0.0612245, 11.4496
1, 0.0816327, 15.0294
1, 0.102041, 18.4132
1, 0.122449, 21.5608
1, 0.142857, 24.4367
1, 0.163265, 27.0115
1, 0.183673, 29.2616
1, 0.204082, 31.1698
1, 0.22449, 32.7251
1, 0.244898, 33.9228
1, 0.265306, 34.7637
1, 0.285714, 35.2546
1, 0.306122, 35.4069
1, 0.326531, 35.2367
1, 0.346939, 34.7643
1, 0.367347, 34.0134
1, 0.387755, 33.0108
1, 0.408163, 31.7857
1, 0.428571, 30.3689
1, 0.44898, 28.7929
1, 0.469388, 27.0903
1, 0.489796, 25.2941
1, 0.510204, 23.4366
1, 0.530612, 21.5486
1, 0.55102, 19.6594
1, 0.571429, 17.7958
1, 0.591837, 15.9819
1, 0.612245, 14.2385
1, 0.632653, 12.5831
1, 0.653061, 11.0295
1, 0.673469, 9.58805
1, 0.693878, 8.26535
1, 0.714286, 7.06484
1, 0.734694, 5.98681
1, 0.755102, 5.02886
1, 0.77551, 4.18626
1, 0.795918, 3.45235
1, 0.816327, 2.81901
1, 0.836735, 2.27704
1, 0.857143, 1.81649
1, 0.877551, 1.42701
1, 0.897959, 1.09809
1, 0.918367, 0.819224
1, 0.938776, 0.58006
1, 0.959184, 0.370425
1, 0.979592, 0.180345
1, 1, 0
